Идентификатор;Номер заказа;Ид. реактива;Ид. заказчика;Вес в граммах;Дата заказа;Ид. магазина;Стоимость партии
0;IP607577BX;1977;14;312.255;2021-03-09;6;15989641.785
1;IP607577BX;1428;14;579.11;2021-03-09;6;43379971.88
2;CF305594XH;1110;79;414.56;2012-02-21;8;19390629.44
3;VO503721IP;92;17;682.623;2017-01-02;4;16285336.911
4;VO503721IP;1861;17;90.965;2017-01-02;4;8472480.1
5;KZ269007CK;1790;66;952.315;2018-05-30;2;85619784.705
6;KZ269007CK;1407;66;346.257;2018-05-30;2;13722857.424
7;KZ269007CK;749;66;692.358;2018-05-30;2;53616895.878
8;EX830524PM;1833;77;971.877;2013-10-13;6;30802669.638
9;EX830524PM;921;77;371.113;2013-10-13;6;24885353.328
10;EX830524PM;1377;77;860.318;2013-10-13;6;49576685.067999996
11;WB701130XU;180;13;535.781;2022-02-03;1;35654082.426
12;WB701130XU;918;13;22.79;2022-02-03;1;1216325.0899999999
13;WB701130XU;427;13;391.465;2022-02-03;1;17900911.52
14;YJ335983GZ;181;64;462.938;2018-07-12;2;608300.532
15;IW240374EV;908;95;382.665;2011-05-10;5;37354226.64
16;IW240374EV;192;95;821.724;2011-05-10;5;15174777.108000001
17;MZ783351OM;441;15;777.343;2019-01-16;6;42240818.62
18;MZ783351OM;664;15;631.255;2019-01-16;6;56799062.39
19;LG367406GO;1056;23;270.606;2019-01-06;4;1261565.172
20;LG367406GO;1716;23;797.043;2019-01-06;4;4671469.023
21;LG367406GO;1979;23;753.08;2019-01-06;4;5907912.600000001
22;AB373184ZT;1461;79;568.302;2020-02-08;2;8147177.472
23;AB373184ZT;210;79;220.889;2020-02-08;2;16967809.424000002
24;XH958560ZY;472;15;369.794;2020-10-20;1;21730204.822
25;XH958560ZY;430;15;886.662;2020-10-20;1;23477036.436
26;GM797312UT;350;77;535.476;2021-04-07;2;48618007.944
27;RY341858LY;828;50;978.224;2014-02-10;4;48852506.56
28;RY341858LY;119;50;365.159;2014-02-10;4;3130142.948
29;RY341858LY;1228;50;273.596;2014-02-10;4;17220132.240000002
30;FK576220FB;1213;96;834.172;2022-04-30;3;37947318.452
31;FK576220FB;533;96;363.741;2022-04-30;3;7011471.516
32;KQ632518MI;58;17;906.838;2011-06-10;4;85285393.38599999
33;KQ632518MI;1522;17;225.028;2011-06-10;4;13913481.24
34;PY308753YX;546;30;407.709;2022-01-03;3;9537536.637
35;PY308753YX;290;30;594.551;2022-01-03;3;34855552.375
36;PY308753YX;8;30;213.049;2022-01-03;3;42609.8
37;MN388548ZM;1650;64;814.622;2019-05-12;1;49730229.234
38;TC222690KT;226;56;997.493;2017-07-06;0;6990430.944
39;KN669152KA;1722;53;129.457;2019-01-01;4;9131508.409
40;XO480531YO;951;13;572.772;2022-11-25;2;619739.304
41;XO480531YO;1687;13;717.441;2022-11-25;2;4954647.546
42;UK915962BB;1966;77;849.688;2021-05-23;3;68824728.0
43;UL924489UQ;1311;61;507.574;2018-10-29;3;2821603.866
44;UL924489UQ;1119;61;499.934;2018-10-29;3;38171460.702
45;VK746234UZ;1391;54;304.379;2022-04-30;0;25780901.3
46;VK746234UZ;1049;54;811.337;2022-04-30;0;49424216.029
47;VK746234UZ;450;54;612.381;2022-04-30;0;6085842.378
